Age_grp,Indigenous.status,Js.deaths,Js.hosp,p.death,p.l,p.u
0-1m,Indigenous,0,9,0,0,0.33626711687994293
2-3m,Indigenous,0,12,0,0,0.2646484693970511
4-5m,Indigenous,0,19,0,0,0.17646691180696528
6-11m,Indigenous,0,55,0,0,0.06487076082542464
1-4yrs,Indigenous,0,193,0,0,0.018931862897287655
5-14yrs,Indigenous,0,121,0,0,0.03002657722275781
15-24yrs,Indigenous,0,192,0,0,0.019029522168779844
25-49yrs,Indigenous,9,1395,0.0064516129032258064,0.002954206514514994,0.012211697302291213
50-64yrs,Indigenous,11,1246,0.00882825040128411,0.004415032658942842,0.015741160731198245
65 and above,Indigenous,0,805,0,0,0.004571975503632093
0-1m,Non-Indigenous,0,54,0,0,0.06603151424442177
2-3m,Non-Indigenous,0,36,0,0,0.09739375591449195
4-5m,Non-Indigenous,0,31,0,0,0.11218874692237002
6-11m,Non-Indigenous,0,186,0,0,0.019637311263977053
1-4yrs,Non-Indigenous,0,1582,0,0,0.0023290657163674232
5-14yrs,Non-Indigenous,0,900,0,0,0.004090366517571226
15-24yrs,Non-Indigenous,0,830,0,0,0.004434571200117163
25-49yrs,Non-Indigenous,23,5624,0.0040896159317211946,0.0025941784426534863,0.00613015003620639
50-64yrs,Non-Indigenous,103,8854,0.01163316015360289,0.00950501113941577,0.014091092492413138
65-74yrs,Non-Indigenous,188,11203,0.016781219316254575,0.01448422661457075,0.01933400831692267
75-79yrs,Non-Indigenous,171,6993,0.02445302445302445,0.02096089421673396,0.028348914658956947
80+yrs,Non-Indigenous,922,21209,0.0434721108963176,0.04076691115731171,0.04630331684868039
